date,title,url
2011-06-03,"ZP member alleges lack of disaster mgmt preparation",http://timesofindia.indiatimes.com//city/nagpur/ZP-member-alleges-lack-of-disaster-mgmt-preparation/articleshow/8714576.cms
2010-12-04,"HUDA pulled up for lack of parking lots outside Metro stn",http://timesofindia.indiatimes.com//city/gurgaon/HUDA-pulled-up-for-lack-of-parking-lots-outside-Metro-stn/articleshow/7038653.cms
2010-11-03,"Motormen rue lack of proper knowhow to drive AC rakes",http://timesofindia.indiatimes.com//city/kolkata/Motormen-rue-lack-of-proper-knowhow-to-drive-AC-rakes/articleshow/6862163.cms
2011-03-03,"Mumbai police arrogant, lack courtesy: Asha Bhosale",http://timesofindia.indiatimes.com//city/mumbai/Mumbai-police-arrogant-lack-courtesy-Asha-Bhosale/articleshow/7614806.cms
2011-03-03,"Kasu fumes over lack of facilities at Kotappakonda",http://timesofindia.indiatimes.com//india/Kasu-fumes-over-lack-of-facilities-at-Kotappakonda/articleshow/7614575.cms
2011-10-08,"GTU V-C rues lack of staff",http://timesofindia.indiatimes.com//city/ahmedabad/GTU-V-C-rues-lack-of-staff/articleshow/10274436.cms
2010-04-05,"Gold declines on lack of buying support and global cues",http://timesofindia.indiatimes.com//business/india-business/Gold-declines-on-lack-of-buying-support-and-global-cues/articleshow/5763036.cms
2011-03-29,"Indian infra cos lack transparency: Emerging markets guru Mobius markets",http://timesofindia.indiatimes.com//business/india-business/Indian-infra-cos-lack-transparency-Emerging-markets-guru-Mobius-markets/articleshow/7812037.cms
2011-10-04,"IOA slams sports ministry for lack of access to CWG venues",http://timesofindia.indiatimes.com//sports/more-sports/others/IOA-slams-sports-ministry-for-lack-of-access-to-CWG-venues/articleshow/10231039.cms
2011-08-18,"Civil society frustrated at lack of government action",http://timesofindia.indiatimes.com//business/india-business/Civil-society-frustrated-at-lack-of-government-action/articleshow/9643461.cms
2011-06-16,"Complete lack of leadership in Congress, govt: BJP",http://timesofindia.indiatimes.com//india/Complete-lack-of-leadership-in-Congress-govt-BJP/articleshow/8869272.cms
2011-06-16,"'e-services can’t be banned for lack of scrutiny'",http://timesofindia.indiatimes.com//tech/tech-news/e-services-cant-be-banned-for-lack-of-scrutiny/articleshow/8877611.cms
2011-09-14,"Severe lack of facilities in HP tribal areas",http://timesofindia.indiatimes.com//city/chandigarh/Severe-lack-of-facilities-in-HP-tribal-areas/articleshow/9976071.cms
2010-05-15,"Celebs lack sense of humour!",http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/Celebs-lack-sense-of-humour/articleshow/5930676.cms
2010-10-19,"Doctors strike for lack of food",http://timesofindia.indiatimes.com//city/mumbai/Doctors-strike-for-lack-of-food/articleshow/6771384.cms
2011-12-06,"JMC cites lack of funds for non-maintenance of Pink City walls",http://timesofindia.indiatimes.com//city/jaipur/ampnbspampnbspJMC-cites-lack-of-funds-for-non-maintenance-of-Pink-City-walls/articleshow/11000260.cms
2011-06-30,"Co-op societies that lack proper documents may lose registration",http://timesofindia.indiatimes.com//city/noida/Co-op-societies-that-lack-proper-documents-may-lose-registration/articleshow/9044609.cms
2011-11-11,"Haryana faces lack of health infrastructure, doctors",http://timesofindia.indiatimes.com//city/chandigarh/Haryana-faces-lack-of-health-infrastructure-doctors/articleshow/10686607.cms
2011-11-11,"Haryana faces lack of health infrastructure, doctors",http://timesofindia.indiatimes.com//city/chandigarh/Haryana-faces-lack-of-health-infrastructure-doctors/articleshow/10686661.cms
2011-09-26,"Theatre veteran rues lack of young interest in drama",http://timesofindia.indiatimes.com//city/bhubaneswar/Theatre-veteran-rues-lack-of-young-interest-in-drama/articleshow/10124966.cms
2011-06-11,"Parents allege lack of transparency in Plus One admissions in Salem",http://timesofindia.indiatimes.com//city/chennai/Parents-allege-lack-of-transparency-in-Plus-One-admissions-in-Salem/articleshow/8794137.cms
2011-06-11,"Parents allege lack of transparency in Plus One admissions in Salem",http://timesofindia.indiatimes.com//city/chennai/Parents-allege-lack-of-transparency-in-Plus-One-admissions-in-Salem/articleshow/8794148.cms
2011-06-11,"47 ITIs lack basic amenities: Minister",http://timesofindia.indiatimes.com//city/hubballi/47-ITIs-lack-basic-amenities-Minister/articleshow/8817459.cms
2010-02-19,"TTEs bathe on platform to protest lack of amenities",http://timesofindia.indiatimes.com//city/chennai/TTEs-bathe-on-platform-to-protest-lack-of-amenities/articleshow/5590341.cms
2011-07-17,"Bus clusters are yet to take off, officials cite lack of depot space",http://timesofindia.indiatimes.com//city/delhi/Bus-clusters-are-yet-to-take-off-officials-cite-lack-of-depot-space/articleshow/9253599.cms
2011-05-31,"Construction projects hit by lack of sand",http://timesofindia.indiatimes.com//city/chennai/Construction-projects-hit-by-lack-of-sand/articleshow/8654434.cms
2011-05-31,"21 accused in '93 riots let off for lack of evidence",http://timesofindia.indiatimes.com//city/mumbai/21-accused-in-93-riots-let-off-for-lack-of-evidence/articleshow/8654495.cms
2011-12-30,"Govt’s lack of urgency on BDP upsets greens",http://timesofindia.indiatimes.com//city/pune/Govts-lack-of-urgency-on-BDP-upsets-greens/articleshow/11300070.cms
2011-09-15,"'Govt responsible for lack of cremation sites'",http://timesofindia.indiatimes.com//city/goa/Govt-responsible-for-lack-of-cremation-sites/articleshow/9987656.cms
2011-01-16,"Court acquits three Maoists' for lack of evidence",http://timesofindia.indiatimes.com//city/ranchi/Court-acquits-three-Maoists-for-lack-of-evidence/articleshow/7294438.cms
2011-09-30,"Diesel registration rate hiked, lack of clarity leaves last minute buyers hassled",http://timesofindia.indiatimes.com//city/delhi/Diesel-registration-rate-hiked-lack-of-clarity-leaves-last-minute-buyers-hassled/articleshow/10176432.cms
2011-01-25,"State cyber crime cell hit by lack of skilled manpower",http://timesofindia.indiatimes.com//city/chennai/State-cyber-crime-cell-hit-by-lack-of-skilled-manpower/articleshow/7356815.cms
2010-01-25,"Pakistan lack self belief, match winners: Waqar",http://timesofindia.indiatimes.com//interviews/Pakistan-lack-self-belief-match-winners-Waqar/articleshow/5498064.cms
2010-12-05,"Linemen protest lack of recruitment",http://timesofindia.indiatimes.com//city/ludhiana/Linemen-protest-lack-of-recruitment/articleshow/7025940.cms
2010-03-10,"Cager-turned-MD regrets lack of infrastructure",http://timesofindia.indiatimes.com//articleshow/5666505.cms
2010-07-02,"MoS says health ministry babus lack ideas",http://timesofindia.indiatimes.com//india/MoS-says-health-ministry-babus-lack-ideas/articleshow/6117303.cms
2011-10-02,"Nara and Nagsen residents slam NMC for lack of water supply",http://timesofindia.indiatimes.com//city/nagpur/Nara-and-Nagsen-residents-slam-NMC-for-lack-of-water-supply/articleshow/10205159.cms
2011-07-28,"South Goa ZPs gun for govt over lack of funds, powers",http://timesofindia.indiatimes.com//city/goa/South-Goa-ZPs-gun-for-govt-over-lack-of-funds-powers/articleshow/9388956.cms
2011-10-20,"Experts rue lack of scientific members on Lonar panel",http://timesofindia.indiatimes.com//city/pune/Experts-rue-lack-of-scientific-members-on-Lonar-panel/articleshow/10421354.cms
2011-08-02,"Dhoni blames it on cramped schedule, lack of rest",http://timesofindia.indiatimes.com//series-tournament/india-in-england/top-stories/Dhoni-blames-it-on-cramped-schedule-lack-of-rest/articleshow/9452165.cms
2011-08-02,"Warne criticises Dhoni, says youngsters lack fighting spirit",http://timesofindia.indiatimes.com//series-tournament/india-in-england/top-stories/Warne-criticises-Dhoni-says-youngsters-lack-fighting-spirit/articleshow/9456347.cms
2010-11-21,"Bomb disposal squads lack proper training",http://timesofindia.indiatimes.com//city/patna/Bomb-disposal-squads-lack-proper-training/articleshow/6964836.cms
2011-07-29,"Bright students quit Presi for lack of exposure",http://timesofindia.indiatimes.com//city/kolkata/Bright-students-quit-Presi-for-lack-of-exposure/articleshow/9401773.cms
2010-07-04,"Parking offences on rise, lack of space to blame",http://timesofindia.indiatimes.com//city/chandigarh/Parking-offences-on-rise-lack-of-space-to-blame/articleshow/6125910.cms
2010-12-21,"India loses Rs 24,000cr annually due to lack of toilets, hygiene: World Bank",http://timesofindia.indiatimes.com//india/India-loses-Rs-24000cr-annually-due-to-lack-of-toilets-hygiene-World-Bank/articleshow/7135478.cms
2010-12-21,"MTC services affected due to lack of adequate no of drivers",http://timesofindia.indiatimes.com//city/chennai/MTC-services-affected-due-to-lack-of-adequate-no-of-drivers/articleshow/7135920.cms
2010-07-10,"Frail men may lack testosterone",http://timesofindia.indiatimes.com//life-style/health-fitness/health/Frail-men-may-lack-testosterone/articleshow/6151526.cms
2010-06-14,"Do cops lack the acumen to fight back new-age criminals armed with latest technology?",http://timesofindia.indiatimes.com//speak-out/Do-cops-lack-the-acumen-to-fight-back-new-age-criminals-armed-with-latest-technology/articleshow/6045664.cms
2010-06-14,"Is lack of awareness of their duties making residents violate law?",http://timesofindia.indiatimes.com//speak-out/-Is-lack-of-awareness-of-their-duties-making-residents-violate-law/articleshow/6045673.cms
2011-07-08,"Eight acquitted in Kandhamal riot case for lack of evidence",http://timesofindia.indiatimes.com//india/Eight-acquitted-in-Kandhamal-riot-case-for-lack-of-evidence/articleshow/9149713.cms
2011-04-25,"Mansarovar incident highlights lack of proper women's hostels",http://timesofindia.indiatimes.com//city/jaipur/Mansarovar-incident-highlights-lack-of-proper-womens-hostels/articleshow/8075882.cms
2011-04-25,"Classical maestro concerned over lack of music education",http://timesofindia.indiatimes.com//india/Classical-maestro-concerned-over-lack-of-music-education/articleshow/8077172.cms
2011-04-25,"Cong protests against lack of civic amenities",http://timesofindia.indiatimes.com//city/allahabad/Cong-protests-against-lack-of-civic-amenities/articleshow/8084706.cms
2011-12-22,"Fast food, lack of space hit city kids hard",http://timesofindia.indiatimes.com//city/mumbai/Fast-food-lack-of-space-hit-city-kids-hard/articleshow/11201504.cms
2010-10-04,"Swimmer Khade laments lack of resources in India",http://timesofindia.indiatimes.com//india-news/Swimmer-Khade-laments-lack-of-resources-in-India/articleshow/6684828.cms
2011-02-24,"Agatha regrets lack of scope for NE youngsters",http://timesofindia.indiatimes.com//city/guwahati/Agatha-regrets-lack-of-scope-for-NE-youngsters/articleshow/7565921.cms
2010-03-17,"Current pole vaulters lack technique: Sergey Bubka",http://timesofindia.indiatimes.com//sports/more-sports/athletics/Current-pole-vaulters-lack-technique-Sergey-Bubka/articleshow/5693649.cms
2011-11-08,"Vengsarkar, Gaekwad bemoan lack of bounce at Kotla",http://timesofindia.indiatimes.com//series-tournament/west-indies-in-india/top-stories/Vengsarkar-Gaekwad-bemoan-lack-of-bounce-at-Kotla/articleshow/10647587.cms
2011-11-08,"Delhi University: DU, colleges cry lack of staff",http://timesofindia.indiatimes.com//city/delhi/Delhi-University-DU-colleges-cry-lack-of-staff/articleshow/10648016.cms
2010-12-26,"Marine police lack basic facilities",http://timesofindia.indiatimes.com//city/hyderabad/Marine-police-lack-basic-facilities/articleshow/7169339.cms
2011-07-23,"Tax meet exposes lack of coordination among officers",http://timesofindia.indiatimes.com//india/Tax-meet-exposes-lack-of-coordination-among-officers/articleshow/9330256.cms
2011-07-10,"Horsewallas rue lack of rain shelters for horses on Shimla Ridge",http://timesofindia.indiatimes.com//india/Horsewallas-rue-lack-of-rain-shelters-for-horses-on-Shimla-Ridge/articleshow/9168972.cms
2010-07-17,"Akram blames Pakistan's flopshow in England on lack of experience",http://timesofindia.indiatimes.com//top-stories/Akram-blames-Pakistans-flopshow-in-England-on-lack-of-experience/articleshow/6180826.cms
2010-07-21,"Over 300 ZP schools lack water tanks, pipelines",http://timesofindia.indiatimes.com//city/pune/Over-300-ZP-schools-lack-water-tanks-pipelines/articleshow/6198139.cms
2010-08-13,"Classrooms lack diversity this year",http://timesofindia.indiatimes.com//city/mumbai/Classrooms-lack-diversity-this-year/articleshow/6302766.cms
2011-02-16,"Protest against lack of facilities for students",http://timesofindia.indiatimes.com//city/guwahati/Protest-against-lack-of-facilities-for-students/articleshow/7504978.cms
2011-12-23,"Aussies lack technique: Rod Marsh",http://timesofindia.indiatimes.com//series-tournament/india-in-australia/interviews/Aussies-lack-technique-Rod-Marsh/articleshow/11217293.cms
2010-10-10,"Vadis make up for lack of veggies",http://timesofindia.indiatimes.com//home/sunday-times/deep-focus/Vadis-make-up-for-lack-of-veggies/articleshow/6721347.cms
2011-05-13,"DMRC officials seem to lack supervision",http://timesofindia.indiatimes.com//city/jaipur/DMRC-officials-seem-to-lack-supervision/articleshow/8279471.cms
2010-02-09,"Developing nations lack biosafety norms to test GM crops: US think-tank",http://timesofindia.indiatimes.com//world/us/Developing-nations-lack-biosafety-norms-to-test-GM-crops-US-think-tank/articleshow/5552724.cms
2010-02-09,"Farmers protest lack of cold storage facilities",http://timesofindia.indiatimes.com//city/ranchi/Farmers-protest-lack-of-cold-storage-facilities/articleshow/5553622.cms
2011-04-11,"They lack opportunity to reform",http://timesofindia.indiatimes.com//city/coimbatore/They-lack-opportunity-to-reform/articleshow/7940506.cms
2010-09-10,"Coach Fernandez rues lack of exposure before CWG",http://timesofindia.indiatimes.com//interviews/Coach-Fernandez-rues-lack-of-exposure-before-CWG/articleshow/6527422.cms
2011-02-12,"'Sassoon's super-speciality centre not complete due to lack of bed space'",http://timesofindia.indiatimes.com//city/pune/Sassoons-super-speciality-centre-not-complete-due-to-lack-of-bed-space/articleshow/7478750.cms
2010-12-27,"Gold seen ranged on lack of leads",http://timesofindia.indiatimes.com//articleshow/7174364.cms
2010-10-03,"Suburban rly stns lack adequate security ; Commuters at risk",http://timesofindia.indiatimes.com//city/chennai/Suburban-rly-stns-lack-adequate-security-Commuters-at-risk/articleshow/6674400.cms
2011-07-22,"Earth mover stolen from aerocity, police point to lack of CCTVs",http://timesofindia.indiatimes.com//city/delhi/Earth-mover-stolen-from-aerocity-police-point-to-lack-of-CCTVs/articleshow/9318014.cms
2011-09-25,"Industries in Chikhli-Talawade complain of lack of amenities",http://timesofindia.indiatimes.com//city/pune/Industries-in-Chikhli-Talawade-complain-of-lack-of-amenities/articleshow/10109896.cms
2011-09-29,"In hiring season, firms rue lack of talent",http://timesofindia.indiatimes.com//city/chennai/In-hiring-season-firms-rue-lack-of-talent/articleshow/10163913.cms
2011-09-29,"In hiring season, IT firms rue lack of talent",http://timesofindia.indiatimes.com//tech/jobs/In-hiring-season-IT-firms-rue-lack-of-talent/articleshow/10174455.cms
2011-11-30,"Sion residents rue lack of development",http://timesofindia.indiatimes.com//india/Sion-residents-rue-lack-of-development/articleshow/10925935.cms
2011-11-30,"Many AU depts lack common hall, toilets for girls",http://timesofindia.indiatimes.com//city/allahabad/Many-AU-depts-lack-common-hall-toilets-for-girls/articleshow/10927013.cms
2011-01-01,"Murder accused acquitted for lack of evidence",http://timesofindia.indiatimes.com//city/mumbai/Murder-accused-acquitted-for-lack-of-evidence/articleshow/7199108.cms
2010-07-29,"PPP college principals taken to task for lack of infrastructure",http://timesofindia.indiatimes.com//city/ahmedabad/PPP-college-principals-taken-to-task-for-lack-of-infrastructure/articleshow/6229621.cms
2010-10-07,"Encroachments thrive on corruption, lack of pol will",http://timesofindia.indiatimes.com//city/mumbai/Encroachments-thrive-on-corruption-lack-of-pol-will/articleshow/6703802.cms
2010-05-02,"CAG criticises Maharashtra government for lack of interest in sports",http://timesofindia.indiatimes.com//sports/more-sports/others/CAG-criticises-Maharashtra-government-for-lack-of-interest-in-sports/articleshow/5882911.cms
2011-01-18,"Leading citizens speak up on graft, lack of governance",http://timesofindia.indiatimes.com//india/Leading-citizens-speak-up-on-graft-lack-of-governance/articleshow/7308253.cms
2011-01-18,"Leading citizens speak up on graft, lack of governance",http://timesofindia.indiatimes.com//articleshow/7308940.cms
2010-11-11,"Govt admits lack of testing facility",http://timesofindia.indiatimes.com//city/delhi/Govt-admits-lack-of-testing-facility/articleshow/6904169.cms
2011-12-07,"Chasnala security guards protest lack of facilities, abstain from duty",http://timesofindia.indiatimes.com//city/ranchi/ltbr-/Chasnala-security-guards-protest-lack-of-facilities-abstain-from-duty/articleshow/11014342.cms
2010-09-18,"Gold declines from record levels on lack of buying",http://timesofindia.indiatimes.com//business/india-business/Gold-declines-from-record-levels-on-lack-of-buying/articleshow/6579702.cms
2010-09-18,"Gold declines from record levels on lack of buying",http://timesofindia.indiatimes.com//articleshow/6580506.cms
2011-05-21,"My boys lack application, says coach Shabbir",http://timesofindia.indiatimes.com//sports/football/top-stories/My-boys-lack-application-says-coach-Shabbir/articleshow/8474315.cms
2011-09-07,"Dhoni rues lack of options due to injury-crisis",http://timesofindia.indiatimes.com//series-tournament/india-in-england/top-stories/Dhoni-rues-lack-of-options-due-to-injury-crisis/articleshow/9893833.cms
2011-09-07,"MS Dhoni rues lack of options due to injury-crisis",http://timesofindia.indiatimes.com//articleshow/9899211.cms
2011-01-13,"VDA actions lack effort in ex-MP fraud case",http://timesofindia.indiatimes.com//city/varanasi/VDA-actions-lack-effort-in-ex-MP-fraud-case/articleshow/7278576.cms
2011-11-21,"Today’s youngster lack depth: Sangeeta Shankar",http://timesofindia.indiatimes.com//entertainment/hindi/music/news/Todays-youngster-lack-depth-Sangeeta-Shankar/articleshow/10815822.cms
2011-12-24,"1,600 schools lack fire-safety measures",http://timesofindia.indiatimes.com//city/delhi/1600-schools-lack-fire-safety-measures/articleshow/11225872.cms
2011-12-24,"Youth lack control over emotions: cops",http://timesofindia.indiatimes.com//city/bengaluru/Youth-lack-control-over-emotions-cops/articleshow/11227089.cms
2011-03-10,"Masinagudi continues to protest the lack of development works",http://timesofindia.indiatimes.com//city/coimbatore/Masinagudi-continues-to-protest-the-lack-of-development-works/articleshow/7668226.cms
2010-05-18,"Patient dies due to lack of ventilator",http://timesofindia.indiatimes.com//city/nagpur/Patient-dies-due-to-lack-of-ventilator/articleshow/5942691.cms
2010-05-18,"Pakistan lack quality Test players: Yousuf",http://timesofindia.indiatimes.com//top-stories/Pakistan-lack-quality-Test-players-Yousuf/articleshow/5944629.cms
2011-09-11,"Washington-Delhi ties lack focus, says Congress body",http://timesofindia.indiatimes.com//india/Washington-Delhi-ties-lack-focus-says-Congress-body/articleshow/9939519.cms
2010-04-23,"BPL families rue lack of central govt benefits",http://timesofindia.indiatimes.com//city/patna/BPL-families-rue-lack-of-central-govt-benefits/articleshow/5846250.cms
2011-11-01,"GU students block road for lack of traffic rules",http://timesofindia.indiatimes.com//city/guwahati/GU-students-block-road-for-lack-of-traffic-rules/articleshow/10563707.cms
2011-06-09,"'Fish died from lack of oxygen'",http://timesofindia.indiatimes.com//city/pune/Fish-died-from-lack-of-oxygen/articleshow/8781816.cms
2010-12-24,"Ashwini aims London medal, rues lack of sponsor",http://timesofindia.indiatimes.com//sports/more-sports/athletics/Ashwini-aims-London-medal-rues-lack-of-sponsor/articleshow/7156927.cms
2010-07-06,"Experts slam lack of proper farm policy",http://timesofindia.indiatimes.com//city/nagpur/Experts-slam-lack-of-proper-farm-policy/articleshow/6133161.cms
2011-12-14,"Last-mile connectivity fails as auto drivers cash in on lack of bus services",http://timesofindia.indiatimes.com//city/chennai/Last-mile-connectivity-fails-as-auto-drivers-cash-in-on-lack-of-bus-services/articleshow/11102125.cms
2010-06-04,"‘Reds lack revolutionary vision’",http://timesofindia.indiatimes.com//india/Reds-lack-revolutionary-vision/articleshow/6009534.cms
2011-11-09,"IRCTC's lack of professionalism irks passenger",http://timesofindia.indiatimes.com//city/chandigarh/IRCTCs-lack-of-professionalism-irks-passenger/articleshow/10662597.cms
2010-06-30,"Urban voters lack interest in polls",http://timesofindia.indiatimes.com//city/mysuru/Urban-voters-lack-interest-in-polls/articleshow/6111742.cms
2011-04-06,"Corporators protest lack of water in parts of city",http://timesofindia.indiatimes.com//city/mumbai/Corporators-protest-lack-of-water-in-parts-of-city/articleshow/7879425.cms
2011-05-18,"Just one night of lack of sleep adds to your flab",http://timesofindia.indiatimes.com//home/science/Just-one-night-of-lack-of-sleep-adds-to-your-flab/articleshow/8407735.cms
2011-09-02,"HIV positive people protest lack of doctors",http://timesofindia.indiatimes.com//city/ranchi/HIV-positive-people-protest-lack-of-doctors/articleshow/9829408.cms
2011-01-27,"Eden Gardens loses India-England World Cup match for lack of preparations",http://timesofindia.indiatimes.com//news/Eden-Gardens-loses-India-England-World-Cup-match-for-lack-of-preparations/articleshow/7375066.cms
2011-12-15,"Patients grapple lack of critical care facilities in Koraput",http://timesofindia.indiatimes.com//city/bhubaneswar/Patients-grapple-lack-of-critical-care-facilities-in-Koraput/articleshow/11117741.cms
2011-12-11,"Youth forced to give up MBBS course owing to lack of funds",http://timesofindia.indiatimes.com//city/madurai/Youth-forced-to-give-up-MBBS-course-owing-to-lack-of-funds/articleshow/11064354.cms
2011-12-01,"Man to pay wife Rs 7 lakh for lack of sex",http://timesofindia.indiatimes.com//articleshow/10941020.cms
2011-04-10,"Indian fans lack sportsmanship: Yuvraj",http://timesofindia.indiatimes.com//interviews/Indian-fans-lack-sportsmanship-Yuvraj/articleshow/7931246.cms
2011-04-10,"Indian fans lack sportsmanship: Yuvraj",http://timesofindia.indiatimes.com//yuvraj-singh-truly-an-allrounder/top-headlines/Indian-fans-lack-sportsmanship-Yuvraj/articleshow/7932988.cms
2010-06-03,"Parents worried about lack of Samacheer Kalvi textbooks in stores",http://timesofindia.indiatimes.com//city/chennai/Parents-worried-about-lack-of-Samacheer-Kalvi-textbooks-in-stores/articleshow/6005149.cms
2010-06-03,"Animal deaths highlight lack of oversight",http://timesofindia.indiatimes.com//city/jaipur/Animal-deaths-highlight-lack-of-oversight/articleshow/5991809.cms
2010-08-05,"Many teachers lack writing skills: Bhyrappa",http://timesofindia.indiatimes.com//city/hubballi/Many-teachers-lack-writing-skills-Bhyrappa/articleshow/6262583.cms
2011-08-30,"Residents protest lack of drinking water",http://timesofindia.indiatimes.com//city/coimbatore/Residents-protest-lack-of-drinking-water/articleshow/9791397.cms
2010-04-12,"CRPF internal reports hint at lack of training, facilities",http://timesofindia.indiatimes.com//india/CRPF-internal-reports-hint-at-lack-of-training-facilities/articleshow/5788364.cms
2010-04-12,"CRPF internal reports hint at lack of training, facilities",http://timesofindia.indiatimes.com//articleshow/5788474.cms
2010-04-12,"CRPF internal reports hint at lack of training, facilities",http://timesofindia.indiatimes.com//articleshow/5788622.cms
2011-12-31,"Relief centres feed 15,000, but lack medical facilities",http://timesofindia.indiatimes.com//city/chennai/Relief-centres-feed-15000-but-lack-medical-facilities/articleshow/11311929.cms
2011-09-18,"There's lack of coordination between players and BCCI: Kapil",http://timesofindia.indiatimes.com//series-tournament/india-in-england/top-stories/Theres-lack-of-coordination-between-players-and-BCCI-Kapil/articleshow/10028121.cms
2011-09-24,"Older buildings lack fire safety measures",http://timesofindia.indiatimes.com//city/bengaluru/-Older-buildings-lack-fire-safety-measures/articleshow/10098782.cms
2011-04-14,"Schools see enrolment rise but lack heads, teachers",http://timesofindia.indiatimes.com//city/goa/Schools-see-enrolment-rise-but-lack-heads-teachers/articleshow/7976827.cms
2011-04-14,"For the young in N Chennai, price rise and lack of jobs key issues",http://timesofindia.indiatimes.com//assembly-elections-2011/tamil-nadu/For-the-young-in-N-Chennai-price-rise-and-lack-of-jobs-key-issues/articleshow/7976784.cms
2011-05-17,"Unique number delay for lack of introducers",http://timesofindia.indiatimes.com//city/ranchi/Unique-number-delay-for-lack-of-introducers/articleshow/8374834.cms
